,incident_type,Incident_Year,Reported_Month,Region_of_Origin,Region_of_Incident,Number_of_Dead,Minimum_Estimated_Number_of_Missing,Number_of_Survivors,Number_of_Females,Number_of_Males,Number_of_Children,Cause_of_Death,Migration_Route,UNSD_Geographical_Grouping
0,Incident,2014,January,Central America,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
1,Incident,2014,January,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
2,Incident,2014,January,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
3,Incident,2014,January,Central America,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
5,Incident,2014,January,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
6,Incident,2014,January,Other / Unknown,Mediterranean,12,0,0,9,0,3,1,Mediterranean Region,Uncategorized
7,Incident,2014,January,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
8,Incident,2014,January,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
9,Incident,2014,January,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
10,Incident,2014,January,Central America,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
11,Incident,2014,January,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
12,Incident,2014,January,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
13,Incident,2014,January,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
14,Incident,2014,January,Southern Asia,Europe,1,0,2,0,1,1,0,EU Boarder,Europe
15,Incident,2014,January,Caribbean,Caribbean,1,0,0,0,1,1,1,Other Routes,Caribbean
17,Incident,2014,February,Other / Unknown,Mediterranean,15,0,0,0,1,0,0,Mediterranean Region,Uncategorized
18,Incident,2014,February,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
19,Incident,2014,February,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
20,Incident,2014,February,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
21,Incident,2014,February,Eastern Africa,Mediterranean,2,0,121,0,2,0,0,Mediterranean Region,Uncategorized
22,Incident,2014,February,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
23,Incident,2014,February,Central America,North America,1,0,2,0,1,0,0,US-Mexico border crossing,Northern America
24,Incident,2014,February,Caribbean,Caribbean,8,0,0,0,0,0,1,Other Routes,Caribbean
25,Incident,2014,February,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
26,Incident,2014,February,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
27,Incident,2014,February,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
29,Incident,2014,February,Eastern Africa,Africa,11,6,0,0,0,0,1,Horn of Africa to Yemen crossing,Uncategorized
30,Incident,2014,February,Eastern Africa,Mediterranean,7,0,0,0,0,0,0,Mediterranean Region,Uncategorized
31,Incident,2014,March,Central America,North America,1,0,0,1,0,0,1,US-Mexico border crossing,Northern America
32,Incident,2014,March,Other / Unknown,Europe,1,0,0,0,1,0,0,EU Boarder,Europe
35,Incident,2014,March,South America,Central America,1,0,0,1,0,1,0,US-Mexico border crossing,Central America
36,Incident,2014,March,Eastern Africa,Africa,1,43,33,1,0,3,1,Horn of Africa to Yemen crossing,Uncategorized
37,Incident,2014,March,Eastern Africa,Europe,1,0,0,0,1,0,0,EU Boarder,Europe
38,Incident,2014,March,Central America,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
39,Incident,2014,March,Eastern Africa,Europe,1,0,0,0,1,0,0,EU Boarder,Europe
40,Incident,2014,March,Eastern Africa,Europe,1,0,2,0,1,0,0,EU Boarder,Europe
41,Incident,2014,March,Latin America / Caribbean,North America,1,0,0,0,0,0,1,US-Mexico border crossing,Northern America
42,Incident,2014,March,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
43,Incident,2014,March,Other / Unknown,Mediterranean,1,0,0,0,0,0,0,Mediterranean Region,Uncategorized
44,Incident,2014,March,Western / Southern Asia,Mediterranean,7,2,8,1,1,1,1,Mediterranean Region,Uncategorized
46,Incident,2014,March,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
47,Incident,2014,March,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
48,Incident,2014,March,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
50,Incident,2014,March,Latin America / Caribbean,North America,1,0,0,1,0,0,0,US-Mexico border crossing,Northern America
51,Incident,2014,March,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
52,Incident,2014,March,Central America,North America,1,0,0,0,1,0,1,US-Mexico border crossing,Northern America
53,Incident,2014,April,Central America,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
55,Incident,2014,April,Other / Unknown,Mediterranean,1,0,661,0,0,0,0,Mediterranean Region,Uncategorized
56,Incident,2014,April,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
57,Incident,2014,April,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
58,Incident,2014,April,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
59,Incident,2014,April,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
60,Incident,2014,April,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
61,Split Incident,2014,April,Eastern Africa,Africa,10,0,309,0,0,0,1,Sahara Desert crossing,Africa
64,Incident,2014,April,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
66,Incident,2014,April,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
68,Incident,2014,April,Central America,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
69,Incident,2014,April,Central America,North America,1,0,0,0,1,0,1,US-Mexico border crossing,Northern America
70,Incident,2014,April,Eastern Africa,Mediterranean,0,40,1,0,0,0,1,Mediterranean Region,Uncategorized
71,Incident,2014,April,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
73,Incident,2014,May,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
74,Incident,2014,May,Eastern Africa,Mediterranean,4,0,80,0,0,0,1,Mediterranean Region,Uncategorized
75,Incident,2014,May,Eastern Africa,Europe,1,0,0,0,1,1,0,EU Boarder,Europe
76,Incident,2014,May,Other / Unknown,Mediterranean,22,7,36,0,0,0,1,Mediterranean Region,Uncategorized
77,Incident,2014,May,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
78,Incident,2014,May,Sub-Saharan Africa,Mediterranean,44,33,53,0,0,0,1,Mediterranean Region,Uncategorized
79,Incident,2014,May,Eastern Africa,Mediterranean,1,0,0,0,1,0,0,Mediterranean Region,Uncategorized
80,Incident,2014,May,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
82,Incident,2014,May,Western Africa,Africa,13,33,0,0,0,0,0,Sahara Desert crossing,Africa
83,Incident,2014,May,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
84,Incident,2014,May,Sub-Saharan Africa,Mediterranean,17,200,226,12,2,3,1,Mediterranean Region,Uncategorized
85,Incident,2014,May,Central America,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
86,Incident,2014,May,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
87,Incident,2014,May,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
88,Incident,2014,May,Southern Asia,Mediterranean,1,0,0,0,1,1,1,Mediterranean Region,Uncategorized
89,Incident,2014,May,Northern Africa,Europe,1,0,0,0,1,1,0,EU Boarder,Europe
90,Incident,2014,May,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
91,Incident,2014,May,Central America,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
92,Incident,2014,May,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
93,Incident,2014,May,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
94,Incident,2014,May,Eastern Africa,Africa,62,0,0,0,0,0,1,Horn of Africa to Yemen crossing,Uncategorized
95,Incident,2014,June,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
96,Incident,2014,June,Central America,North America,1,0,0,0,1,0,1,US-Mexico border crossing,Northern America
97,Incident,2014,June,Other / Unknown,Mediterranean,3,0,0,0,0,0,0,Mediterranean Region,Uncategorized
98,Incident,2014,June,Latin America / Caribbean,North America,1,0,0,1,0,0,0,US-Mexico border crossing,Northern America
99,Incident,2014,June,Other / Unknown,Mediterranean,4,0,0,0,0,0,1,Mediterranean Region,Uncategorized
100,Incident,2014,June,Other / Unknown,Mediterranean,3,2,0,0,0,0,1,Mediterranean Region,Uncategorized
101,Incident,2014,June,Latin America / Caribbean,North America,1,0,0,0,1,0,1,US-Mexico border crossing,Northern America
102,Incident,2014,June,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
103,Incident,2014,June,Latin America / Caribbean,North America,1,0,0,0,1,0,1,US-Mexico border crossing,Northern America
104,Incident,2014,June,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
105,Incident,2014,June,Latin America / Caribbean,North America,1,0,0,1,0,0,1,US-Mexico border crossing,Northern America
106,Incident,2014,June,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
107,Incident,2014,June,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
108,Incident,2014,June,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
109,Incident,2014,June,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
110,Incident,2014,June,Latin America / Caribbean,North America,1,0,0,0,1,0,1,US-Mexico border crossing,Northern America
111,Incident,2014,June,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
112,Incident,2014,June,Other / Unknown,Mediterranean,10,0,39,0,0,0,1,Mediterranean Region,Uncategorized
114,Incident,2014,June,Western / Southern Asia,Mediterranean,1,0,356,0,0,0,0,Mediterranean Region,Uncategorized
116,Incident,2014,June,Other / Unknown,Africa,0,29,0,0,0,0,1,Western Africa / Atlantic route to the Canary Islands,Uncategorized
117,Incident,2014,June,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
118,Incident,2014,June,Other / Unknown,Mediterranean,4,0,0,0,0,0,0,Mediterranean Region,Uncategorized
119,Incident,2014,June,Latin America / Caribbean,North America,1,0,0,0,1,0,1,US-Mexico border crossing,Northern America
121,Incident,2014,June,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
122,Incident,2014,June,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
123,Incident,2014,June,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
124,Incident,2014,June,Eastern Africa,Mediterranean,0,240,0,0,0,0,1,Mediterranean Region,Uncategorized
125,Incident,2014,June,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
126,Split Incident,2014,June,Western / Southern Asia,Mediterranean,2,4,0,0,4,0,1,Mediterranean Region,Uncategorized
127,Incident,2014,June,Other / Unknown,Mediterranean,45,0,566,0,45,0,0,Mediterranean Region,Uncategorized
128,Incident,2014,July,Other / Unknown,Mediterranean,0,75,27,0,0,0,1,Mediterranean Region,Uncategorized
129,Incident,2014,July,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
130,Incident,2014,July,Latin America / Caribbean,North America,1,0,0,0,0,0,1,US-Mexico border crossing,Northern America
131,Incident,2014,July,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
133,Incident,2014,July,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
134,Split Incident,2014,July,Western / Southern Asia,Mediterranean,12,188,0,1,0,2,1,Mediterranean Region,Uncategorized
