,Location_of_Death
United States Of America,2481
"Reported at Milak border crossing, Iran",200
"Sahara Desert, Libya",196
"Tehran, Iran ",182
"Agadez, Niger",121
"Sabha, Libya",102
"Sahara Desert, Sudan",96
"Unspecified location in Shiraz district, Fars province, Iran",73
"Bani Walid, Libya",66
"Unspecified location in the Sahara Desert, Libya",61
"Unspecified location, Libya",61
"Unspecified location in the desert, Libya",46
"Kufra, Libya",42
"Unspecified location in Saravan district, Sistan & Baluchestan province, Iran",40
"Tamanrasset, Algeria",37
"Qatrun, Libya",35
"Unspecified location in Bam district, Kerman province, Iran",34
"Atbara, Sudan",31
"Unspecified location in Zabol district, Sistan & Baluchestan province, Iran",30
"Unspecified location in Kerman district, Kerman province, Iran",29
"Aswan, Egypt",29
Unspecified location between North Africa and Italy,27
Unspecified location between Libya and Italy,27
"Unspecified location in Iranshahr district, Sistan & Baluchestan province, Iran",26
"In the mountains of the Ar Raqw area, Monabbih District, Sa'dah Governorate, Yemen",24
"Khartoum, Sudan",24
"Sarwan, Sistan and Baluchestan province, Iran",22
"Unspecified location in Zahedan district, Sistan & Baluchestan province, Iran",21
"Sahara Desert, between Agadez, Niger and Tripoli, Libya",20
"Sahara desert, Ash Shamaliyah, Sudan",20
"Sahara desert near Atbara, Sudan",20
"Ajdabiya, Libya",19
"Unspecified location in Khash district, Sistan & Baluchestan province, Iran",19
"Zinder, Niger",16
"Rio Bravo, Piedras Negras, Coahuila, Mexico",16
"Al Qadarif, Sudan",15
"Unspecified location in Jiroft district, Kerman province, Iran",15
"Niamey, Niger",15
"Unspecified location in Yazd district, Yazd province, Iran",15
"Sahara desert, Niger",15
"Kurfrah, Libya",15
"Unspecified location, Niger",14
"Unspecified location in Isfahan province, Iran",14
"Unspecified location in Bandar Abbas district, Hormozgan province, Iran",14
"Gao, Mali",14
Off the coast of Libya,13
"Unspecified location in Bushehr district, Bushehr province, Iran",13
"Kerman province, Iran",13
"Unspecified location in the Sahara desert, Egypt",12
"Syria-TÃ¼rkiye border, Idlib Governorate, Syria",11
"Qalabat, Sudan",11
"Monabbih District, Sa'dah Governorate, Yemen",11
"Unspecified location in the Sahara Desert, Niger",11
"Kufrah, Libya",11
Unspecified location in the Central Mediterranean,10
"Jiroft, Kerman province, Iran",10
"Remains retreived from unspecified locations in Sfax (majorly), Kerkennah or Mahdia, Tunisia",10
"Unspecified location in Kahnuj district, Kerman province, Iran",10
"Garin Kouka, Niger",10
"Isfahan, Iran",10
Unspecified location off the coast of Libya,10
"Al Hajer, Sudan",10
"Dirkou, Niger",9
Off the coast of Lesvos,9
"Unspecified location in Rafsanjan district, Kerman province, Iran",9
"SÃ©guÃ©dine, Niger",9
"Off Sfax, Tunisia",9
"Dao, Niger",9
"Unspecified location in Bushehr province, Iran",9
"Asfhan province, Iran",9
"Umm Al Aranib, Libya",9
"Unspecified location in Zehak district, Sistan & Baluchestan province, Iran",8
"Unspecified location on khash highways, Sistan & Baluchestan province, Iran",8
"Ash Shamaliyah, Sudan",8
"Abu Hamad, Sudan",8
"Bordj Badji Mokhtar, Algeria",7
"Mopti, Mali",7
"Remains washed ashore at Sabratah, Libya",7
"Garin Kowa, Zinder, Niger",7
"Unspecified location in the Alboran Sea, between Morocco and Spain",7
"Calais, France",7
"Unspecified location in Yazd province, Iran",7
"Sahara Desert, between Agadez, Niger and Sabha, Libya",7
"RÃ­o Bravo, Nuevo Laredo, Tamaulipas, Mexico",7
"Unspecified location in Isfahan district, Isfahan province, Iran",7
"Rio Bravo, Nuevo Laredo, Tamaulipas, Mexico",7
"Obock, Djibouti",7
"Sahara Desert, between Khartoum, Sudan and Tripoli, Libya",6
"Red Valley border area, Saudi Arabia",6
"Unspecified location in Kerman province, Iran",6
"Found on Fournoi Island, Greece",6
"Near Atbara, Sudan",6
"Cage Ranch, Brooks County, Texas",6
"Yazd, Iran",6
"Rio Bravo, Matamoros, Tamaulipas, Mexico",6
"Unspecified location in Sirjan district, Kerman province, Iran",6
Egypt-Libya border,6
"Rio Grande near Nuevo Laredo, Tamaulipas, Mexico",6
"Seguedine, Niger",6
"Remains washed ashore at Zuwara, Libya",6
"Arbinda, Burkina Faso",6
"Remains washed ashore at Surman, Libya",6
"Ghadames, Libya",6
"Kufra District, Libya",5
"Timbuktu, Mali",5
"Qadarif, Sudan",5
"Rio Bravo in Tamaulipas, Mexico",5
"RÃ­o Bravo, near Isla del Mudo, Piedras Negras, Coahuila, Mexico",5
"Unspecified location in Urmia county, West Azerbaijan province, Iran",5
"Unspecified location in the desert, Sudan",5
"Rafsanjan, Kerman province, Iran",5
"Off the coast of Sabratha, Libya",5
"Iranshahr, Sistan and Baluchestan province, Iran",5
Syrian/Turkish border near northern Deir Ezzor province,5
"Port of Ceuta, Spain",5
"Al Qatrun, Libya",5
"Brak, Libya",5
"Janet, Niger",5
"Remains washed ashore at Mellitah beach, Sabratha, Libya",5
Unspecified location in Algeria,5
"Bodies recovered off the shore of Sirte, Libya",5
"Unspecified location in Egypt, near border with Libya",5
"Evros/MeriÃ§ River, Ipsala District, TÃ¼rkiye",5
"Rio Bravo near Black Railroad Bridge (Puente Negro del Ferrocarril), Piedras Negras, Coahuila, Mexico",5
"Syrian/Turkish border near Qamishli, Al Hasaka, Syria",5
"Off the coast of Melilla, Spain",5
"Kidal, Mali",5
"Faya Largeau, Chad",5
"Shimalia (Al Shamaliyah ), Sudan",4
"Laascaanood, Somalia",4
"Off the coast of Zuwara, Libya",4
"Webb County  jurisdiction, Texas",4
"Kassala, Sudan",4
"Unspecified location in Urmia city, West Azerbaijan Province, Iran",4
Syrian/Turkish border near Idlib province,4
"Sahara Desert between Agadez, Niger and Libya",4
"Bam, Kerman province, Iran",4
"Tazirbu, Libya",4
"Bodies washed up near Tajoura, Libya",4
"Unidentified location in Khash district, Sistan and Baluchestan Province, Iran",4
"Remains washed ashore at Az Zawiyah, Libya",4
"Found dead on train at Cannes La Bocca station, France",4
"Metema, Ethiopia-Sudan border",4
"Remains washed ashore at Plage d'Aghir, Djerba, Medinine, Tunisia",4
"Unspecified location in the Sahara Desert, Sudan",4
"Syria-TÃ¼rkiye border, near Al-Deriyyeh, Darkush, Idlib Governorate, Syria",4
"Sahara Desert, north of Khartoum, Sudan",4
"Unspecified location in Kerman, Iran",4
